User,veAEQ % Owned,Amount Owed
0xf1be320ddeddb0024c3cb9ef7808a68a62536402,0.0043,0.22790000000000002
0xacae03cdbc0af96a43f97dfd40e5eaeb0ebf2e2f,0.0042,0.2226
0xe221d5371ef7334a76aac4f70b94dd80d1c18a00,0.0041,0.2173
0xf07add5ce0f6ac0db4105b34f74b899fead6274c,0.0041,0.2173
0xd9fd4e3c12e1fa343adc3561088412d07279982a,0.004,0.21200000000000002
0x563178f7e9658b9ba5e9b44686f22534e7c5134a,0.004,0.21200000000000002
0x139f1b1c52ae328d9319a11eeab6d0e87d9d0e03,0.004,0.21200000000000002
0x2e9190b2c2b8f8f0fa99da93c408b2c92c92a233,0.0039,0.2067
0x5702173ef37c599bf52323a97418d4fb9e1fcf41,0.0038,0.20140000000000002
0x197f4c3cc2c89a0f4c4e2443c453f29ecdf67d4b,0.0037,0.19610000000000002
0x41623231b4552134622e9c7d3d7da5f443c7df50,0.0037,0.19610000000000002
0x98fb5b87f14529d82f0b91663a2d08ec88f28812,0.0037,0.19610000000000002
0x07fcb3fad1da2333fafc3a42863c53d76903dae6,0.0036,0.1908
0xc6c3c471e64fec8684988d04dead9a4e1f98587d,0.0035,0.18550000000000003
0xd5c412e2b224c356f077980036f5cf6330a2da5d,0.0034,0.1802
0x179c4ef17188fe081b977b5e522bcd2071551b52,0.0034,0.1802
0x341fe65a998ece518e78c76fafa1657983d4ff7a,0.0033,0.1749
0xd264bc31a13d962c22967f02e44dadd8bbf25232,0.0033,0.1749
0x64431762fa2b5b7e9f9c4daa5b18d1a8a25f89dc,0.0033,0.1749
0xc4022f2bad4527ec76bd2418b83116c3d0f9bef4,0.0033,0.1749
0x9e15aa687d26f960d4eb20f8e4fb5697c9567143,0.0033,0.1749
0x099a69c017761247ab3199a3bd0fb0d13fa256fa,0.0033,0.1749
0x4d60d71f411ab671f614ed0ec5b71beedb46287d,0.0032,0.1696
0x6be612332c781f991af4f6c620a1b5c3af11acbe,0.003,0.159
0x3e7b530753ed471e4433f0cf9d149fc858e8134d,0.0028,0.1484
0x95c8b90b57ba7c9555e1ea66e589a7bec104c7bb,0.0028,0.1484
0x839ab9ddbb67c35eba80d2077a612dfa62e6e5e8,0.0028,0.1484
0x8fda1ead2709923c058217b441ef5a5bf09f4022,0.0027,0.1431
0x86b0c97e8b7385eacf08d3505f363d12b7c45f2c,0.0027,0.1431
0x8eb354f1cbb0ab7ef0d038883b4c1065e008453f,0.0027,0.1431
0xd205b11e2eb2005752df5d85253265c998e524ee,0.0027,0.1431
0x487175f921a713d8e67a95bcdd75139c35a7d838,0.0027,0.1431
0x73cbdf131364a3b8dc6110a6037aba1f868167ee,0.0027,0.1431
0xfc3bc5c1a6af3544b67834e13f11bd125dba03eb,0.0026,0.13779999999999998
0x4d039bac50d32bfd6b9e7ef44f0e459ec6f789cc,0.0026,0.13779999999999998
0x701533cc1ac85fa5f32ec56fe3ea442bd4977e0d,0.0026,0.13779999999999998
0x7779d137b441b9cd62a6c7ec8b31cc630cafa50a,0.0025,0.1325
0xa00d04b75cc12061019c843a763df3f60f2e5c76,0.0024,0.12719999999999998
0x60bbb1c69977e3648811c74b6aa3d2fd43322083,0.0024,0.12719999999999998
0x52caed46a473a4473527b2bcf38b04444c23bab2,0.0024,0.12719999999999998
0xc8e1c36e8574207a129322d24110f081347b3689,0.0024,0.12719999999999998
0xf32742fdea3b433fb7cbd589d7c1e9a30be3cd86,0.0024,0.12719999999999998
0x9fceee71bb655746180795c7a7c276118e8488c3,0.0024,0.12719999999999998
0x46764efbe6d466a6beb89e876fe1f0602ebbe39a,0.0023,0.1219
0xb96743a6cc3a948381814ff0317c47fa01454929,0.0022,0.11660000000000001
0x1540ce00a0f4822f06085f2c1acd6d243e010f0d,0.0022,0.11660000000000001
0x562ed81e568d860d2b7ce395a6ae364398e2a100,0.0021,0.1113
0xd29829162ee984c926f3b57ccf5089cbd2a6a9b4,0.0021,0.1113
0x37296a05a5d6c056cb068fbd356793702f3ced6f,0.0021,0.1113
0xdf90f315b659e12a79df2d2e096451c8ee010793,0.0021,0.1113
0x44da6d127fb9c5536c4e8f38cc9229576cf50326,0.0021,0.1113
0xb56aeabd6531b8dac8754ad41223768eda2a04d7,0.0021,0.1113
0xf3f56511de6161209ee00bf37cc5eaa9a9bd2d3e,0.0021,0.1113
0xad7d61179701d8b93663fb641a848588929c4e93,0.002,0.10600000000000001
0xd02364b9ee5f21c5cf4e346c093e8ccde32f57c0,0.002,0.10600000000000001
0x7676abe170a1c52e6a72c60be3d178788c4457e7,0.002,0.10600000000000001
0xa4e66a0c7862579e8999602e2aa607265e056344,0.002,0.10600000000000001
0x53121a32ca46e3ae654a60863db53a2c1f1e252e,0.002,0.10600000000000001
0xb997fd02cfb6356eb6fbc5f7f799800e8a8faa54,0.0019,0.10070000000000001
0x46ebcb14d21912c3106db2b8fe67b46c2afaf555,0.0019,0.10070000000000001
0x4b83579f001fc572c0738bae98559f2dd0fe25d4,0.0019,0.10070000000000001
0x5c506d9b07c8af312eb86b2efdacfaa68a0028d1,0.0019,0.10070000000000001
0x46311b532a4776a93e8c5ba069587000121ec2dc,0.0018,0.0954
0x66579469184d58378b4732e704b6c54439b94947,0.0018,0.0954
