User,veAEQ Balance at block 22721125,veAEQ % Owned,,Unlock Date (UTC),Lock last updated,,,
0x2e86d29cfea7c4f422f7fccf97986bbba03e1a7f,563.9661241,0.0718,,"Thu, 05 Oct 2023 00:00:00 GMT",Sun Oct 09 2022,,,
0xf73484a987ed44b6926996c1c6cdd460807246bf,563.224521,0.0717,,"Thu, 14 Sep 2023 00:00:00 GMT",Sun Oct 02 2022,,,
0xc82307702e339227fc154abb7b13a402c156748d,562.5301902,0.0716,,"Thu, 24 Aug 2023 00:00:00 GMT",Thu Aug 25 2022,,,
0x2ec9912157a1d0a813fdc7ac2b76203741cb4a8e,560.8325359,0.0714,,"Thu, 07 Sep 2023 00:00:00 GMT",Tue Sep 20 2022,,,
0xc4359587c848e6cace36bf6a6b326c8d16d36bd8,560.3495242,0.0714,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Aug 25 2022,,,
0x64f830a199bf057b157e8f1b6ab56bc157a87b11,547.2174415,0.0697,,"Thu, 19 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0xa9c4066447cffea1f8dbe3ee44bf6aa3344d932f,534.5101409,0.0681,,"Thu, 05 Jan 2023 00:00:00 GMT",Sat Sep 17 2022,,,
0x9b8b0292434d70a925216f09015842c15851f3f2,518.7962966,0.0661,,"Thu, 26 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0x1b184a64cb8a2efb161c9dcdd4565413bfeec81d,516.7954356,0.0658,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0xe7f998a644771b4c271205aa66d32820ae95e7f5,499.1072834,0.0636,,"Thu, 19 Oct 2023 00:00:00 GMT",Sun Oct 23 2022,,,
0x170ca91deeef8141e57881f8566ff6aaa291320d,462.7929116,0.0589,,"Thu, 31 Aug 2023 00:00:00 GMT",Sat Sep 10 2022,,,
0x591c26a167533c1f5346640ac935a6c48e380ed7,439.3080067,0.0559,,"Thu, 12 Oct 2023 00:00:00 GMT",Fri Oct 14 2022,,,
0xa850ba793f7e9507a6e797b4bd77834b34e01a1a,426.376959,0.0543,,"Thu, 21 Sep 2023 00:00:00 GMT",Wed Sep 21 2022,,,
0x5c3d14e1da2d26a86f46cbb8c05f51f9ff199390,412.7227306,0.0526,,"Thu, 05 Oct 2023 00:00:00 GMT",Wed Oct 05 2022,,,
0xfa59dd7e6eb82ba5ab01aef84d85c9c6b3904e74,384.3313827,0.0489,,"Thu, 28 Sep 2023 00:00:00 GMT",Wed Sep 28 2022,,,
0x8be3ec7cde3e275c958b1896ae75dacdfbe9b02e,377.4698303,0.0481,,"Thu, 12 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0xe239c3bacbe08e0569ac6651b3ac264ca5e772bf,363.8566232,0.0463,,"Thu, 31 Aug 2023 00:00:00 GMT",Mon Sep 12 2022,,,
0xe93ce1315a296e12e040f47c6d0bf3496253d10a,363.0722279,0.0462,,"Thu, 07 Sep 2023 00:00:00 GMT",Tue Sep 06 2022,,,
0x071f53a0e2549566a088680b1ff927ce36120db6,362.5175068,0.0462,,"Thu, 12 Oct 2023 00:00:00 GMT",Tue Oct 25 2022,,,
0x772c1f2ca95fd4e317cd602e712e30178c059c70,354.5673876,0.0452,,"Thu, 12 Oct 2023 00:00:00 GMT",Sat Oct 15 2022,,,
0x798053c2314e944cf3595c8175116d406a5ce717,353.9090849,0.0451,,"Thu, 14 Sep 2023 00:00:00 GMT",Tue Sep 27 2022,,,
0x11ce0360917320c6eb9305fbb77447a031ffb050,350.1851558,0.0446,,"Thu, 31 Aug 2023 00:00:00 GMT",Wed Aug 31 2022,,,
0xbb710dcbb13ae7b8faee2b6d3fac5ba81920d8fb,341.7569501,0.0435,,"Thu, 17 Aug 2023 00:00:00 GMT",Tue Sep 06 2022,,,
0x69397a82277f241aa877a7d27211972be9ebbe11,338.1565863,0.0431,,"Thu, 31 Aug 2023 00:00:00 GMT",Thu Sep 01 2022,,,
0x0e1f017b36066851b40ecf35c3c69bf481c24430,328.76012,0.0419,,"Thu, 07 Sep 2023 00:00:00 GMT",Sat Sep 10 2022,,,
0x0a4cecbf05d06c837ffd79bedc5c03856d0297a2,321.129044,0.0409,,"Thu, 17 Aug 2023 00:00:00 GMT",Wed Sep 14 2022,,,
0xa2555b4aff00b915265b965704819d0ca661fb0b,314.7029859,0.0401,,"Thu, 07 Sep 2023 00:00:00 GMT",Wed Sep 07 2022,,,
0x1c157bd0ce3f4a2ee06b60891e5389b85a55c55e,307.3000171,0.0391,,"Thu, 05 Oct 2023 00:00:00 GMT",Sat Oct 15 2022,,,
0x5da44a9ceb43aacbc8ccda176d303b7f75d27c8f,297.9998283,0.0379,,"Thu, 17 Aug 2023 00:00:00 GMT",Fri Aug 26 2022,,,
